#V,vertexid,longitude,latitude,x*,y*
V,2576,-77.0365156871,38.9133542439,,
V,2583,-77.0351309499,38.9133559353,,
V,2584,-77.0027655032,38.9608748899,,
V,2596,-77.0045082531,38.9608758221,,
V,2597,-76.9800642314,38.9029016701,,
V,2608,-76.980625362,38.903341062,,
V,2609,-76.9965959449,38.9477824814,,
V,2614,-76.9383528367,38.8730498669,,
V,2622,-76.9377541007,38.8727364172,,
V,2623,-77.0725435948,38.9325534489,,
V,2645,-77.0724174491,38.9334917425,,
V,2646,-77.0862093523,38.9510488265,,
V,2649,-77.0862059519,38.9514226045,,
V,2650,-77.0761018678,38.9126427858,,
V,2653,-77.0777534261,38.9126819533,,
V,2654,-77.0296284218,38.9025301816,,
V,2655,-77.0296290286,38.902646619,,
V,2656,-76.9894281451,38.8627478737,,
V,2658,-76.9891976268,38.862498772,,
V,2659,-77.0855917652,38.9097814092,,
V,2661,-77.0860367231,38.9093404587,,
V,2662,-77.0185463658,38.9605744905,,
V,2664,-77.0185520303,38.9601730816,,
V,2665,-76.9861543488,38.9076854223,,
V,2668,-76.9860747012,38.90780041,,
V,2669,-77.0198896379,38.9564567679,,
V,2674,-77.0218251243,38.9563990659,,
V,2675,-76.9259572934,38.8810805904,,
V,2685,-76.9260789448,38.8801308224,,
V,2686,-77.0028392668,38.8339103995,,
V,2690,-77.0029779667,38.8334460757,,
V,2691,-77.0228582946,38.9649603756,,
V,2694,-77.0233314674,38.9649585756,,
V,2695,-77.0302635537,38.9546212422,,
V,2701,-77.032867318,38.9546216652,,
V,2702,-77.0416602327,38.9155816641,,
V,2705,-77.04165927,38.9159926686,,
V,2706,-77.0540268917,38.9031709811,,
V,2710,-77.0540396558,38.9037506657,,
V,2711,-77.0229351742,38.8984633816,,
V,2716,-77.0229505608,38.8998216594,,
V,2717,-76.9626970813,38.8620338165,,
V,2718,-76.9623170185,38.8620315825,,
